,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Rank,Player Name,Pos rank,Team,Bye,Pass yards,Pass TD,Int,Rush Yards,Rush TD,Receptions,Receicing Yards,Receiving TD,Fantasy Points,Value
,,,264,Ronald Jones,RB65,DAL,7,0,0,0,365,2.7,6,47,0.2,61.6,-19.4
,,,265,Ke'Shawn Vaughn,RB66,TB,5,0,0,0,235,1.8,20,146,0.4,61.5,-19.5
,,,266,Kyren Williams,RB67,LAR,10,0,0,0,245,1.7,18,138,0.6,61.2,-19.8
,,,267,DeVante Parker,WR84,NE,11,0,0,0,0,0,39,458,3,83.3,-20.1
,,,268,Jerome Ford,RB68,CLE,5,0,0,0,333,1.9,10,86,0.4,60.8,-20.2
,,,269,Chosen Anderson,WR85,MIA,10,0,0,0,0,0,33,476,3,82.2,-21.2
,,,269,Isaiah Spiller,RB69,LAC,5,0,0,0,258,1.8,16,116,0.6,59.8,-21.2
,,,271,Zamir White,RB70,LV,13,0,0,0,363,2.1,8,56,0.2,59.6,-21.4
,,,271,Jayden Reed,WR86,GB,6,0,0,0,26,0.2,35,452,2.6,82,-21.4
,,,273,Rondale Moore,WR87,ARI,14,0,0,0,21,0,46,450,1.9,81.4,-22
,,,274,Wan'Dale Robinson,WR88,NYG,13,0,0,0,35,0.2,41,426,2.2,81.2,-22.2
,,,275,Arizona Cardinals,DST30,ARI,14,--,--,--,--,--,--,--,--,90.1,-22.5
,,,275,Eric Saubert,TE31,MIA,10,0,0,0,0,0,28,331,2.9,64.5,-22.5
,,,277,Parris Campbell,WR89,NYG,13,0,0,0,7,0.1,41,462,2.1,80.7,-22.7
,,,278,Logan Thomas,TE32,WAS,14,0,0,0,0,0,33,346,2.2,64.2,-22.8
,,,279,Nathaniel Dell,WR90,HOU,7,0,0,0,20,0.1,42,451,2,80.5,-22.9
,,,280,Chicago Bears,DST31,CHI,13,--,--,--,--,--,--,--,--,89.4,-23.2
,,,281,Mack Hollins,WR91,ATL,11,0,0,0,5,0,37,468,2.4,80,-23.4
,,,282,Luke Schoonmaker,TE33,DAL,7,0,0,0,0,0,30,311,2.7,62.5,-24.5
,,,283,Hunter Henry,TE34,NE,11,0,0,0,0,0,32,319,2.4,62.4,-24.6
,,,284,DeWayne McBride,RB71,MIN,13,0,0,0,149,1.6,21,161,0.8,56,-25
,,,285,Chase Claypool,WR92,CHI,13,0,0,0,30,0.2,30,410,3,78.2,-25.2
,,,285,Luke Musgrave,TE35,GB,6,0,0,0,0,0,33,335,2,61.8,-25.2
,,,287,Ben Skowronek,WR93,LAR,10,0,0,0,11,0.1,42,425,2.1,77.9,-25.5
,,,288,Jelani Woods,TE36,IND,11,0,0,0,0,0,26,318,2.7,61,-26
,,,289,Daniel Bellinger,TE37,NYG,13,0,0,0,0,0,32,321,2.1,60.4,-26.6
,,,290,Demetric Felton Jr.,RB72,CLE,5,0,0,0,134,0.6,22,189,1.2,54.3,-26.7
,,,291,Joshua Kelley,RB73,LAC,5,0,0,0,300,2.1,8,58,0.3,54.2,-26.8
,,,292,Las Vegas Raiders,DST32,LV,13,--,--,--,--,--,--,--,--,85.7,-26.9
,,,293,Matt Breida,RB74,NYG,13,0,0,0,183,1.5,19,129,0.7,53.7,-27.3
,,,294,DeeJay Dallas,RB75,SEA,5,0,0,0,106,0.7,26,196,1,53.3,-27.7
,,,295,Isaiah Likely,TE38,BAL,13,0,0,0,0,0,30,312,2.1,58.9,-28.1
,,,296,Ameer Abdullah,RB76,LV,13,0,0,0,108,0.8,25,198,0.8,52.4,-28.6
,,,297,Russell Gage,WR94,TB,5,0,0,0,28,0.1,37,385,2.4,74.7,-28.7
,,,298,Trenton Irwin,WR95,CIN,7,0,0,0,9,0.1,33,386,3,74.6,-28.8
,,,299,Damarea Crockett,RB77,DEN,9,0,0,0,265,2,9,67,0.4,52,-29
,,,299,Tyler Badie,RB77,DEN,9,0,0,0,228,2.1,10,78,0.6,52,-29
