,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Rank,Player Name,Pos rank,Team,Bye,Pass yards,Pass TD,Int,Rush Yards,Rush TD,Receptions,Receicing Yards,Receiving TD,Fantasy Points,Value
,,,60,Mike Williams,WR24,LAC,5,0,0,0,0,0,72,920,6,164.2,60.8
,,,61,Amari Cooper,WR25,CLE,5,0,0,0,0,0,73,912,6,163.7,60.3
,,,62,D'Andre Swift,RB27,PHI,10,0,0,0,690,5,31,231,0.5,140.6,59.6
,,,63,Javonte Williams,RB28,DEN,9,0,0,0,677,5.1,30,215,0.8,139.7,58.7
,,,64,Dalvin Cook,RB29,MIN,13,0,0,0,748,5.7,22,161,0.6,139.6,58.6
,,,65,George Pickens,WR26,PIT,6,0,0,0,30,0.2,73,963,4,161,57.6
,,,66,Christian Kirk,WR27,JAC,9,0,0,0,26,0.2,75,850,5.7,160.6,57.2
,,,66,Rachaad White,RB30,TB,5,0,0,0,642,4.5,34,251,0.8,138.2,57.2
,,,68,Deshaun Watson,QB9,CLE,5,3833,24.3,11.7,414,4.2,0,0,0,305.4,55.6
,,,69,Keenan Allen,WR28,LAC,5,0,0,0,0,0,72,823,6.4,156.7,53.3
,,,70,AJ Dillon,RB31,GB,6,0,0,0,728,6.4,15,120,0.4,133.3,52.3
,,,71,Chris Godwin,WR29,TB,5,0,0,0,9,0.1,79,890,4.1,154.4,51
,,,72,Daniel Jones,QB10,NYG,13,3603,19.4,9.7,567,5.1,0,0,0,299.4,50.8
,,,73,Treylon Burks,WR30,TEN,7,0,0,0,40,0.2,69,882,4.2,152.9,49.5
,,,74,Michael Pittman Jr.,WR31,IND,11,0,0,0,8,0,64,887,5.2,152.5,49.1
,,,75,Geno Smith,QB11,SEA,5,4077,25.6,10.2,319,1.5,0,0,0,296.1,48.2
,,,76,T.J. Hockenson,TE3,MIN,13,0,0,0,0,0,74,766,4.5,140.4,48.1
,,,77,Kadarius Toney,WR32,KC,10,0,0,0,60,0.6,66,777,5.1,150.8,47.4
,,,78,Khalil Herbert,RB32,CHI,13,0,0,0,707,4.8,20,151,0.5,127.6,46.6
,,,79,Gabe Davis,WR33,BUF,13,0,0,0,17,0.1,62,817,5.8,149.6,46.2
,,,80,George Kittle,TE4,SF,9,0,0,0,9,0.2,55,721,5.9,137,45
,,,81,Tyler Lockett,WR34,SEA,5,0,0,0,4,0,63,825,5.6,147.9,44.5
,,,82,Dak Prescott,QB12,DAL,7,3945,26.3,13,254,2.6,0,0,0,291,44.1
,,,83,Alvin Kamara,RB33,NO,11,0,0,0,455,2.3,41,330,1.8,123.8,42.8
,,,84,Mike Evans,WR35,TB,5,0,0,0,0,0,61,845,5,145.2,41.8
,,,85,Rashaad Penny,RB34,PHI,10,0,0,0,645,7.6,9,63,0.2,122.3,41.3
,,,86,Tua Tagovailoa,QB13,MIA,10,4219,26.9,11.2,115,1.5,0,0,0,285.7,39.9
,,,87,Kirk Cousins,QB14,MIN,13,4298,27,12.9,90,1.5,0,0,0,285,39.3
,,,88,Jaxon Smith-Njigba,WR36,SEA,5,0,0,0,29,0.3,54,803,5,142.1,38.7
,,,89,Brandon Aiyuk,WR37,SF,9,0,0,0,16,0.1,58,822,4.7,141.8,38.4
,,,90,James Cook,RB35,BUF,13,0,0,0,480,2,40,287,1.8,119.3,38.3
,,,91,Samaje Perine,RB36,DEN,9,0,0,0,546,3.4,30,207,1.2,117.9,36.9
,,,92,Antonio Gibson,RB37,WAS,14,0,0,0,399,3,41,316,1.3,117.7,36.7
,,,93,Devon Achane,RB38,MIA,10,0,0,0,481,3,37,238,1.3,116,35
,,,94,Anthony Richardson,QB15,IND,11,2721,15.8,10.3,801,6,0,0,0,277.9,33.6
,,,95,Damien Harris,RB39,BUF,13,0,0,0,600,4.3,19,141,0.8,114.3,33.3
,,,96,Elijah Mitchell,RB40,SF,9,0,0,0,625,4.7,16,120,0.6,114.1,33.1
,,,97,Tyler Allgeier,RB41,ATL,11,0,0,0,672,4.8,12,94,0.4,113.8,32.8
,,,98,Jared Goff,QB16,DET,9,4206,26,10.9,71,1.1,0,0,0,275,31.3
,,,98,Jordan Addison,WR38,MIN,13,0,0,0,5,0,64,775,4.1,134.7,31.3
